Date,Case_Recovered_Rate,Total_Recovered
2020-08-15,66.431%,91321
2020-08-14,66.323%,89618
2020-08-13,65.924%,87558
2020-08-12,65.636%,85798
2020-08-11,65.004%,83710
2020-08-10,64.71%,82236
2020-08-09,64.557%,80952
2020-08-08,64.214%,79306
2020-08-07,63.977%,77557
2020-08-06,63.699%,75645
2020-08-05,63.223%,73889
2020-08-04,62.622%,72050
2020-08-03,62.083%,70237
2020-08-02,61.886%,68975
2020-08-01,61.78%,67919
2020-07-31,60.813%,65907
2020-07-30,60.461%,64292
2020-03-15,6.838%,8
2020-04-03,6.747%,134
2020-04-02,6.257%,112
2020-04-01,6.142%,103
2020-07-29,59.501%,62138
2020-07-28,59.322%,60539
2020-07-27,57.997%,58173
2020-07-26,57.356%,56655
2020-07-25,56.898%,55354
2020-07-24,56.535%,53945
2020-07-23,55.697%,52164
2020-07-22,54.773%,50255
2020-07-21,53.93%,48466
2020-07-20,53.253%,46977
2020-07-19,52.474%,45401
2020-07-18,50.974%,43268
2020-07-17,50.324%,41834
2020-03-16,5.97%,8
2020-03-12,5.882%,2
2020-03-11,5.882%,2
2020-03-22,5.642%,29
2020-03-30,5.304%,75
2020-03-31,5.301%,81
2020-03-17,5.233%,9
2020-03-23,5.181%,30
2020-03-28,5.108%,59
2020-07-16,49.401%,40345
2020-07-15,48.755%,39050
2020-07-14,47.9%,37636
2020-07-13,47.66%,36689
2020-07-12,47.079%,35638
2020-07-11,46.906%,34719
2020-07-07,46.485%,30785
2020-07-08,46.395%,31585
2020-07-10,46.345%,33529
2020-07-09,46.159%,32651
2020-07-06,46.059%,29919
2020-07-05,45.656%,29105
2020-07-03,45.421%,27568
2020-07-04,45.411%,28219
2020-07-02,44.898%,26667
2020-07-01,44.305%,25595
2020-06-30,43.994%,24806
2020-06-29,43.2%,23800
2020-06-28,42.466%,22936
2020-06-27,41.485%,21909
2020-06-26,41.482%,21333
2020-06-25,40.746%,20449
2020-06-23,40.172%,19241
2020-06-24,40.111%,19658
2020-06-21,40.104%,18404
2020-03-29,4.981%,64
2020-03-19,4.854%,15
2020-03-18,4.846%,11
2020-03-20,4.607%,17
2020-03-21,4.444%,20
2020-03-27,4.398%,46
2020-03-24,4.38%,30
2020-06-22,39.994%,18735
2020-06-20,39.714%,17883
2020-06-19,39.607%,17349
2020-06-18,39.283%,16798
2020-06-17,39.205%,16243
2020-06-16,38.869%,15703
2020-06-15,38.487%,15123
2020-06-14,37.963%,14531
2020-06-13,36.815%,13776
2020-06-12,36.293%,13213
2020-06-11,35.801%,12636
2020-06-10,35.345%,12129
2020-06-09,34.509%,11414
2020-06-08,34.04%,10904
2020-06-07,33.663%,10498
2020-06-06,32.467%,9907
2020-06-05,31.987%,9443
2020-06-04,30.856%,8892
2020-03-25,3.924%,31
2020-03-26,3.919%,35
2020-06-03,29.774%,8406
2020-06-02,28.803%,7935
2020-06-01,28.348%,7637
2020-05-31,27.605%,7308
2020-05-30,27.218%,7015
2020-05-29,25.746%,6492
2020-05-28,25.43%,6240
2020-05-27,25.395%,6057
2020-05-26,25.37%,5877
2020-05-25,24.8%,5642
2020-05-22,24.317%,5057
2020-05-24,24.256%,5402
2020-05-19,24.151%,4467
2020-05-23,24.139%,5249
2020-05-18,24.009%,4324
